opportunity_id,account_id,product_id,sales_agent,deal_stage,engage_date,close_date,deal_value
D42,A1028,P206,Agent_12,Negotiation,2023-08-08,2023-02-27,40878
D43,A1012,P205,Agent_0,Proposal,2023-06-29,2023-06-14,42675
D44,A1011,P202,Agent_21,Proposal,2023-08-19,2023-08-06,19202
D45,A1045,P200,Agent_14,Negotiation,2023-08-27,2023-12-13,25931
D46,A1001,P202,Agent_25,Closed Won,2023-10-13,2023-07-20,74619
D47,A1034,P205,Agent_17,Closed Lost,2023-04-12,2023-05-18,21492
D48,A1080,P200,Agent_8,Proposal,2023-02-26,2023-03-27,61903
D49,A1007,P205,Agent_0,Qualification,2023-12-15,2024-01-15,71767
D50,A1025,P202,Agent_8,Negotiation,2023-06-02,2024-02-08,70776
D51,A1073,P203,Agent_22,Proposal,2023-01-12,2024-01-11,15830
D52,A1033,P206,Agent_1,Proposal,2023-03-10,2023-12-03,53215
D53,A1006,P201,Agent_13,Proposal,2023-07-10,2024-02-24,31617
D54,A1067,P206,Agent_17,Prospecting,2023-05-15,2023-10-13,60873
D55,A1057,P203,Agent_15,Proposal,2023-07-18,2023-04-04,60206
D56,A1074,P205,Agent_28,Negotiation,2023-04-18,2023-10-20,31728
D57,A1028,P206,Agent_10,Closed Won,2023-03-04,2023-03-21,59758
D58,A1035,P205,Agent_5,Proposal,2023-12-03,2023-07-13,47908
D59,A1020,P205,Agent_2,Prospecting,2023-12-15,2023-09-12,45924
D60,A1035,P200,Agent_13,Proposal,2023-08-12,2023-09-11,31071
D61,A1009,P204,Agent_1,Closed Won,2023-03-24,2023-06-24,23839
D62,A1072,P205,Agent_31,Proposal,2023-09-29,2023-08-18,24830
D63,A1023,P206,Agent_30,Negotiation,2023-05-25,2024-01-25,47365
D64,A1063,P206,Agent_10,Proposal,2023-11-17,2023-11-05,32324
D65,A1048,P206,Agent_21,Qualification,2023-01-27,2024-01-04,31088
D66,A1035,P203,Agent_2,Closed Won,2023-06-03,2024-01-17,73459
D67,A1081,P201,Agent_30,Prospecting,2023-06-11,2023-05-11,67406
D68,A1023,P205,Agent_32,Proposal,2023-02-26,2023-11-07,43703
D69,A1022,P205,Agent_23,Qualification,2023-12-12,2023-09-19,70422
D70,A1061,P205,Agent_0,Prospecting,2023-05-18,2023-02-12,25614
D71,A1036,P200,Agent_14,Proposal,2023-08-14,2023-10-25,21711
D72,A1011,P205,Agent_26,Proposal,2023-08-22,2023-10-02,22066
D73,A1054,P203,Agent_26,Negotiation,2023-07-15,2024-01-12,49291
D74,A1012,P202,Agent_11,Negotiation,2023-03-29,2023-04-08,37891
D75,A1022,P204,Agent_2,Negotiation,2023-08-15,2023-12-06,5753
D76,A1029,P206,Agent_29,Proposal,2023-01-16,2023-04-07,45882
D77,A1016,P205,Agent_31,Negotiation,2023-08-03,2023-05-06,39374
D78,A1061,P200,Agent_22,Proposal,2023-09-19,2023-08-13,44293
D79,A1083,P203,Agent_1,Proposal,2023-12-25,2023-07-25,8578
D80,A1012,P205,Agent_6,Proposal,2023-12-12,2023-11-28,24229
D81,A1058,P200,Agent_33,Closed Lost,2023-06-26,2023-12-22,73474
D82,A1018,P202,Agent_31,Qualification,2023-06-27,2023-05-08,47886
D83,A1048,P201,Agent_31,Closed Lost,2023-11-04,2023-02-27,18875
D84,A1011,P205,Agent_13,Prospecting,2023-05-09,2023-03-05,67742
D85,A1060,P203,Agent_2,Qualification,2023-05-07,2024-01-26,14701
D86,A1018,P200,Agent_31,Qualification,2023-07-15,2023-07-21,54121
D87,A1075,P200,Agent_16,Negotiation,2023-05-23,2023-03-04,28291
D88,A1008,P205,Agent_2,Prospecting,2023-04-05,2023-06-04,29116
D89,A1070,P200,Agent_9,Closed Won,2023-01-15,2023-12-28,10886
D90,A1027,P201,Agent_17,Closed Won,2023-05-29,2023-09-25,18672
D91,A1077,P200,Agent_2,Negotiation,2023-02-14,2023-11-06,19508
D92,A1051,P206,Agent_9,Proposal,2023-04-22,2024-01-25,42936
D93,A1082,P204,Agent_8,Closed Lost,2023-04-24,2023-09-22,51190
D94,A1015,P206,Agent_10,Closed Won,2023-05-20,2023-03-31,8281
D95,A1068,P204,Agent_32,Proposal,2023-09-23,2024-02-06,56864
D96,A1011,P200,Agent_25,Negotiation,2023-07-16,2023-06-08,52659
D97,A1024,P205,Agent_26,Proposal,2023-12-09,2023-08-10,17924
D98,A1051,P204,Agent_21,Proposal,2023-02-10,2023-11-08,69966
D99,A1084,P203,Agent_25,Qualification,2023-11-23,2023-12-24,33468
D100,A1052,P204,Agent_21,Proposal,2023-11-04,2023-09-07,33379
D101,A1022,P206,Agent_4,Prospecting,2023-05-19,2023-08-23,66654
D102,A1015,P200,Agent_34,Qualification,2023-03-30,2024-02-25,62962
D103,A1056,P205,Agent_1,Negotiation,2023-01-23,2023-10-11,59255
D104,A1038,P202,Agent_34,Closed Lost,2023-06-20,2023-06-12,21664
D105,A1052,P205,Agent_8,Closed Lost,2023-05-26,2024-02-19,18633
D106,A1041,P205,Agent_17,Proposal,2023-03-06,2023-09-28,49337
D107,A1057,P205,Agent_11,Negotiation,2023-03-18,2023-07-21,9932
D108,A1038,P203,Agent_2,Qualification,2023-02-09,2023-12-01,21205
D109,A1013,P201,Agent_17,Negotiation,2023-09-01,2023-10-28,56111
D110,A1004,P206,Agent_6,Prospecting,2023-04-19,2023-12-03,54541
D111,A1034,P200,Agent_32,Qualification,2023-08-22,2023-03-04,25744
D112,A1074,P201,Agent_5,Negotiation,2023-12-16,2023-09-19,7053
D113,A1017,P202,Agent_17,Qualification,2023-04-08,2023-04-02,13359
D114,A1075,P201,Agent_21,Prospecting,2023-11-30,2023-06-20,39934
D115,A1008,P200,Agent_8,Closed Won,2023-11-02,2023-06-23,45874
D116,A1073,P206,Agent_34,Qualification,2023-09-15,2023-03-17,69737
D117,A1057,P206,Agent_22,Prospecting,2023-08-19,2023-08-15,17461
D118,A1016,P200,Agent_11,Prospecting,2023-09-21,2023-08-22,60424
D119,A1006,P202,Agent_23,Qualification,2023-03-27,2023-12-24,26566
D120,A1045,P200,Agent_8,Prospecting,2023-08-12,2024-02-01,50006
D121,A1012,P202,Agent_12,Closed Won,2023-12-10,2023-11-30,63641
D122,A1039,P202,Agent_16,Qualification,2023-05-29,2023-07-08,51064
D123,A1041,P200,Agent_6,Closed Won,2023-07-05,2023-11-08,55368
D124,A1008,P204,Agent_16,Prospecting,2023-10-16,2024-02-19,16191
D125,A1049,P206,Agent_23,Proposal,2023-12-31,2023-12-27,56765
D126,A1026,P202,Agent_1,Negotiation,2023-08-21,2023-09-17,39904
D127,A1065,P200,Agent_34,Negotiation,2023-01-25,2024-02-10,28695
D128,A1004,P204,Agent_27,Negotiation,2023-06-19,2023-05-21,68205
D129,A1028,P206,Agent_18,Closed Lost,2023-07-29,2023-05-24,11958
D130,A1036,P202,Agent_32,Qualification,2023-02-03,2023-09-02,7272
D131,A1037,P206,Agent_20,Proposal,2023-10-11,2023-11-09,65294
D132,A1082,P204,Agent_9,Closed Won,2023-02-15,2023-10-05,8018
D133,A1007,P206,Agent_8,Prospecting,2023-06-27,2023-08-09,72751
D134,A1064,P203,Agent_5,Prospecting,2023-08-10,2024-01-06,24628
D135,A1016,P205,Agent_34,Qualification,2023-02-05,2023-05-07,62198
D136,A1070,P203,Agent_17,Negotiation,2023-02-11,2023-04-17,5296
D137,A1044,P204,Agent_18,Qualification,2023-07-08,2024-02-08,19578
D138,A1003,P202,Agent_4,Qualification,2023-08-17,2023-11-19,18554
D139,A1035,P200,Agent_24,Proposal,2023-10-01,2023-10-21,26585
D140,A1069,P201,Agent_10,Negotiation,2023-12-16,2023-05-23,39225
D141,A1030,P200,Agent_9,Qualification,2023-07-15,2023-08-13,8546
D142,A1018,P206,Agent_16,Qualification,2023-03-03,2023-05-25,51622
D143,A1060,P201,Agent_25,Negotiation,2023-04-06,2023-05-03,32703
D144,A1053,P201,Agent_30,Closed Lost,2023-08-29,2023-02-13,8664
D145,A1038,P206,Agent_31,Negotiation,2023-03-10,2023-12-20,36099
D146,A1073,P206,Agent_20,Closed Won,2023-08-17,2023-11-21,58084
D147,A1018,P202,Agent_17,Qualification,2023-02-11,2023-05-10,47319
D148,A1038,P204,Agent_17,Qualification,2023-10-30,2023-07-09,11140
D149,A1066,P200,Agent_0,Proposal,2023-09-30,2023-07-04,55891
D150,A1044,P204,Agent_13,Closed Won,2023-07-26,2023-12-05,70007
D151,A1012,P203,Agent_7,Proposal,2023-12-28,2023-08-18,27141
D152,A1057,P202,Agent_1,Closed Won,2023-12-15,2023-09-15,55694
D153,A1019,P202,Agent_14,Closed Lost,2023-03-26,2024-02-02,26628
D154,A1071,P203,Agent_33,Prospecting,2023-01-16,2023-02-26,32243
D155,A1060,P200,Agent_0,Prospecting,2023-01-08,2023-06-28,68747
D156,A1038,P205,Agent_20,Prospecting,2023-10-21,2023-04-13,70198
D157,A1000,P203,Agent_0,Qualification,2023-04-27,2023-05-30,49770
D158,A1002,P200,Agent_31,Prospecting,2023-02-11,2023-11-26,12937
D159,A1076,P201,Agent_19,Closed Won,2023-09-20,2024-02-21,61004
D160,A1061,P206,Agent_29,Prospecting,2023-08-26,2023-06-02,50618
D161,A1062,P202,Agent_6,Qualification,2023-05-02,2023-07-23,58103
D162,A1024,P200,Agent_21,Qualification,2023-06-09,2023-04-11,11493
D163,A1055,P204,Agent_9,Closed Lost,2023-10-11,2023-07-15,30957
D164,A1032,P206,Agent_7,Negotiation,2023-12-13,2024-02-04,9117
D165,A1037,P204,Agent_26,Closed Lost,2023-10-17,2023-04-24,17501
D166,A1005,P206,Agent_9,Closed Lost,2023-12-20,2023-02-27,6188
D167,A1057,P202,Agent_13,Proposal,2023-06-25,2023-03-10,52243
D168,A1043,P203,Agent_10,Qualification,2023-10-19,2023-11-05,37113
D169,A1044,P205,Agent_5,Qualification,2023-05-25,2023-05-27,61639
D170,A1031,P203,Agent_20,Qualification,2023-01-08,2023-02-21,71332
D171,A1044,P200,Agent_32,Negotiation,2023-12-09,2023-12-21,60829
D172,A1060,P203,Agent_18,Prospecting,2023-03-25,2023-10-19,55012
D173,A1046,P202,Agent_23,Prospecting,2023-01-16,2023-10-14,72050
D174,A1020,P200,Agent_17,Negotiation,2023-12-25,2023-02-11,20451
D175,A1079,P201,Agent_34,Negotiation,2023-01-30,2024-02-24,57086
D176,A1084,P203,Agent_18,Negotiation,2023-02-19,2023-07-23,53393
D177,A1074,P203,Agent_23,Qualification,2023-06-13,2024-01-13,6369
D178,A1035,P205,Agent_33,Closed Won,2023-09-29,2023-12-10,19068
D179,A1018,P200,Agent_21,Proposal,2023-11-13,2024-02-06,46658
D180,A1019,P204,Agent_3,Prospecting,2023-06-30,2023-03-07,13116
D181,A1056,P203,Agent_9,Closed Won,2023-02-22,2023-09-29,48687
D182,A1017,P202,Agent_1,Closed Lost,2023-10-25,2024-02-17,48453
D183,A1046,P203,Agent_7,Prospecting,2023-09-12,2024-02-03,36237
D184,A1048,P205,Agent_32,Qualification,2023-08-09,2024-01-30,10364
D185,A1013,P201,Agent_27,Proposal,2023-02-28,2023-07-27,70626
D186,A1014,P205,Agent_9,Prospecting,2023-03-23,2023-08-06,21855
D187,A1030,P203,Agent_0,Closed Won,2023-01-11,2023-12-07,58634
D188,A1000,P204,Agent_33,Qualification,2023-03-18,2023-09-11,59278
D189,A1053,P206,Agent_2,Closed Won,2023-03-08,2023-06-03,6111
D190,A1002,P203,Agent_8,Negotiation,2023-10-30,2024-01-19,63251
D191,A1015,P200,Agent_4,Proposal,2023-04-10,2024-02-02,65258
D192,A1056,P203,Agent_9,Qualification,2023-03-12,2023-08-23,16408
D193,A1074,P204,Agent_11,Qualification,2023-07-08,2023-06-12,29002
D194,A1011,P200,Agent_17,Prospecting,2023-01-09,2023-09-12,72925
D195,A1073,P202,Agent_20,Qualification,2023-05-05,2023-10-05,20360
D196,A1015,P200,Agent_20,Qualification,2023-12-28,2023-02-16,21847
D197,A1071,P205,Agent_0,Closed Won,2023-03-28,2024-02-07,52565
D198,A1075,P201,Agent_2,Qualification,2023-02-27,2023-07-08,22456
D199,A1023,P205,Agent_4,Closed Won,2023-07-14,2023-04-13,44959
D200,A1027,P206,Agent_24,Proposal,2023-02-24,2023-11-16,20058
D201,A1007,P200,Agent_7,Closed Won,2023-10-25,2023-02-22,56492
D202,A1035,P202,Agent_16,Closed Lost,2023-08-07,2023-07-11,57672
D203,A1007,P203,Agent_8,Qualification,2023-05-17,2024-01-02,74592
D204,A1057,P200,Agent_31,Closed Won,2023-11-18,2023-03-12,61849
D205,A1059,P205,Agent_5,Negotiation,2023-09-01,2023-10-16,67313
D206,A1049,P200,Agent_20,Closed Won,2023-11-10,2023-02-07,28488
D207,A1027,P200,Agent_6,Negotiation,2023-06-24,2023-12-12,72192
D208,A1040,P200,Agent_6,Proposal,2023-08-01,2023-03-07,70387
D209,A1063,P202,Agent_26,Qualification,2023-08-25,2023-03-30,21975
D210,A1026,P204,Agent_7,Prospecting,2023-12-09,2024-02-03,47392
D211,A1062,P204,Agent_8,Proposal,2023-08-08,2024-01-26,18305
D212,A1016,P200,Agent_27,Closed Lost,2023-11-12,2024-02-06,26961
D213,A1072,P202,Agent_14,Negotiation,2023-01-29,2023-11-03,5228
D214,A1032,P202,Agent_1,Qualification,2023-01-27,2023-02-25,28474
D215,A1083,P206,Agent_6,Closed Won,2023-07-27,2023-12-30,8979
D216,A1076,P200,Agent_17,Closed Won,2023-09-08,2023-04-29,51343
D217,A1028,P205,Agent_21,Qualification,2023-11-25,2023-02-26,5739
D218,A1012,P205,Agent_9,Prospecting,2023-05-05,2023-05-17,24558
D219,A1045,P201,Agent_32,Prospecting,2023-01-11,2023-11-17,42817
D220,A1034,P200,Agent_6,Closed Won,2023-01-27,2023-03-01,56799
D221,A1005,P201,Agent_2,Closed Won,2023-06-21,2023-10-10,43154
D222,A1081,P205,Agent_13,Qualification,2023-08-10,2023-11-24,37272
D223,A1068,P205,Agent_12,Qualification,2023-11-24,2023-11-22,42339
D224,A1046,P200,Agent_15,Closed Won,2023-07-06,2023-10-04,11594
D225,A1024,P201,Agent_15,Closed Lost,2023-01-11,2023-03-22,18185
D226,A1065,P201,Agent_4,Closed Won,2023-03-31,2023-04-18,17572
D227,A1009,P200,Agent_24,Negotiation,2023-06-23,2023-09-01,22569
D228,A1055,P206,Agent_25,Qualification,2023-09-13,2023-12-02,74753
D229,A1029,P201,Agent_12,Proposal,2023-06-06,2023-05-13,22519
D230,A1004,P206,Agent_25,Qualification,2023-09-23,2023-09-28,36953
D231,A1032,P203,Agent_0,Closed Won,2023-03-11,2024-01-27,24804
D232,A1064,P205,Agent_7,Qualification,2023-07-27,2023-10-19,70537
D233,A1017,P204,Agent_3,Closed Won,2023-02-14,2023-05-13,22275
D234,A1048,P206,Agent_20,Qualification,2023-10-11,2023-04-29,67068
D235,A1010,P206,Agent_21,Closed Won,2023-02-01,2023-12-16,68344
D236,A1084,P206,Agent_2,Qualification,2023-09-30,2024-01-29,37601
D237,A1025,P202,Agent_18,Proposal,2023-07-05,2023-07-13,32575
D238,A1062,P201,Agent_0,Negotiation,2023-07-31,2023-10-22,57705
D239,A1058,P201,Agent_28,Prospecting,2023-07-16,2024-02-25,60221
D240,A1026,P202,Agent_22,Closed Lost,2023-07-28,2023-08-27,37369
D241,A1048,P201,Agent_32,Proposal,2023-09-10,2023-09-15,49617
D242,A1076,P202,Agent_22,Proposal,2023-05-30,2023-06-11,63315
D243,A1032,P206,Agent_4,Closed Won,2023-11-30,2023-03-27,20317
D244,A1000,P200,Agent_6,Closed Won,2023-02-16,2024-01-11,61109
D245,A1020,P203,Agent_5,Proposal,2023-06-12,2023-11-02,33318
D246,A1054,P206,Agent_21,Closed Lost,2023-05-09,2024-02-25,46239
D247,A1005,P203,Agent_12,Prospecting,2023-12-01,2023-08-25,23082
D248,A1080,P205,Agent_11,Prospecting,2023-03-24,2023-06-17,67520
D249,A1068,P206,Agent_3,Proposal,2023-01-25,2023-08-21,16079
D250,A1004,P204,Agent_7,Qualification,2023-02-18,2023-11-28,7884
D251,A1002,P201,Agent_30,Proposal,2023-09-18,2023-10-12,41347
D252,A1052,P204,Agent_25,Qualification,2023-06-21,2023-08-18,72787
D253,A1022,P200,Agent_7,Proposal,2023-08-15,2023-10-04,23740
D254,A1052,P203,Agent_32,Closed Won,2023-12-19,2023-10-03,17815
D255,A1036,P206,Agent_28,Proposal,2023-12-24,2023-04-01,70177
D256,A1073,P200,Agent_4,Closed Lost,2023-08-23,2023-04-10,47891
D257,A1073,P200,Agent_27,Closed Won,2023-10-21,2023-07-06,57566
D258,A1082,P201,Agent_16,Qualification,2023-08-31,2023-08-09,46968
D259,A1016,P200,Agent_22,Qualification,2023-02-02,2023-08-12,34913
D260,A1084,P206,Agent_8,Qualification,2023-08-10,2023-08-16,59860
D261,A1077,P206,Agent_1,Closed Won,2023-11-07,2024-01-24,23462
D262,A1072,P203,Agent_31,Prospecting,2023-02-10,2023-11-28,40482
D263,A1000,P206,Agent_30,Qualification,2023-07-23,2023-05-16,6338
D264,A1050,P204,Agent_6,Closed Lost,2023-08-17,2024-01-07,17782
D265,A1044,P203,Agent_29,Negotiation,2023-06-16,2023-08-31,11614
D266,A1076,P201,Agent_2,Qualification,2023-02-20,2023-06-24,5741
D267,A1003,P203,Agent_8,Qualification,2023-07-27,2023-09-16,35210
D268,A1061,P202,Agent_9,Closed Won,2023-11-11,2023-06-05,71269
D269,A1064,P204,Agent_25,Closed Won,2023-10-09,2023-02-14,18944
D270,A1031,P202,Agent_0,Qualification,2023-01-01,2024-01-25,61991
D271,A1033,P202,Agent_29,Proposal,2023-08-24,2023-04-22,6806
D272,A1071,P205,Agent_14,Closed Won,2023-10-28,2023-05-07,18285
D273,A1038,P206,Agent_24,Closed Won,2023-03-17,2023-06-01,72289
D274,A1025,P201,Agent_5,Closed Won,2023-05-03,2023-12-09,45126
D275,A1033,P200,Agent_17,Proposal,2023-05-21,2023-04-19,10857
D276,A1053,P202,Agent_0,Closed Lost,2023-05-15,2024-01-01,38792
D277,A1002,P203,Agent_2,Qualification,2023-11-16,2023-07-24,59361
D278,A1049,P200,Agent_16,Prospecting,2023-11-15,2024-02-16,41322
D279,A1011,P203,Agent_7,Negotiation,2023-05-25,2024-02-04,16908
D280,A1064,P203,Agent_16,Proposal,2023-09-19,2023-09-25,69627
D281,A1053,P200,Agent_24,Closed Won,2023-06-30,2023-04-25,68643
D282,A1004,P200,Agent_11,Prospecting,2023-10-13,2023-08-02,26202
D283,A1056,P206,Agent_28,Closed Won,2023-01-22,2023-09-01,64883
D284,A1016,P203,Agent_24,Qualification,2023-03-15,2023-10-03,48720
D285,A1046,P201,Agent_24,Negotiation,2023-04-16,2023-10-06,44662
D286,A1022,P206,Agent_28,Prospecting,2023-05-05,2024-01-20,32030
D287,A1078,P204,Agent_10,Negotiation,2023-07-12,2023-07-25,44850
D288,A1084,P205,Agent_3,Negotiation,2023-03-07,2023-11-18,40397
D289,A1013,P204,Agent_13,Qualification,2023-07-26,2023-07-21,61094
D290,A1065,P201,Agent_16,Qualification,2023-02-03,2023-12-26,25616
D291,A1074,P206,Agent_1,Proposal,2023-06-11,2023-08-07,70334
D292,A1050,P205,Agent_7,Closed Won,2023-09-10,2023-11-19,11661
D293,A1037,P206,Agent_9,Qualification,2023-11-15,2023-10-11,62029
D294,A1063,P200,Agent_6,Qualification,2023-04-24,2024-02-20,31047
D295,A1037,P205,Agent_15,Qualification,2023-06-13,2023-08-31,44043
D296,A1049,P203,Agent_13,Closed Lost,2023-09-03,2023-05-13,51442
D297,A1081,P204,Agent_15,Qualification,2023-10-09,2023-02-06,66378
D298,A1029,P205,Agent_24,Prospecting,2023-06-23,2024-02-19,30943
D299,A1078,P203,Agent_3,Closed Won,2023-10-30,2023-10-25,39487
D300,A1050,P206,Agent_28,Negotiation,2023-05-24,2023-06-28,74023
D301,A1062,P201,Agent_5,Prospecting,2023-11-08,2023-09-07,29559
D302,A1051,P205,Agent_0,Closed Lost,2023-03-30,2023-04-11,46519
D303,A1037,P203,Agent_0,Negotiation,2023-09-04,2023-07-22,16416
D304,A1078,P206,Agent_2,Proposal,2023-09-02,2024-01-02,27859
D305,A1029,P206,Agent_0,Qualification,2023-11-06,2023-05-01,23184
D306,A1050,P206,Agent_0,Closed Won,2023-08-04,2023-12-13,32846
D307,A1080,P201,Agent_20,Qualification,2023-09-07,2023-02-14,47771
D308,A1004,P200,Agent_29,Qualification,2023-05-02,2023-11-04,20498
D309,A1028,P201,Agent_31,Prospecting,2023-02-10,2024-02-01,74798
D310,A1003,P201,Agent_32,Closed Won,2023-10-23,2023-10-14,37914
D311,A1009,P204,Agent_21,Proposal,2023-08-13,2023-10-12,57980
D312,A1055,P206,Agent_29,Negotiation,2023-04-05,2023-10-17,50500
D313,A1016,P203,Agent_3,Qualification,2023-06-19,2023-08-12,39885
D314,A1073,P205,Agent_22,Negotiation,2023-03-17,2024-02-25,43215
D315,A1016,P204,Agent_24,Closed Won,2024-01-01,2023-10-18,69320
D316,A1083,P206,Agent_11,Qualification,2023-11-01,2023-02-11,34924
D317,A1068,P202,Agent_16,Closed Won,2023-12-13,2024-02-14,60099
D318,A1033,P201,Agent_14,Qualification,2023-04-08,2023-08-23,68113
D319,A1005,P202,Agent_9,Closed Won,2023-01-16,2023-08-03,5318
D320,A1052,P206,Agent_34,Prospecting,2023-06-09,2023-01-31,10749
D321,A1065,P204,Agent_28,Proposal,2023-09-30,2023-12-17,14528
D322,A1076,P203,Agent_11,Closed Lost,2023-01-31,2023-02-22,26441
D323,A1042,P204,Agent_0,Closed Lost,2023-12-14,2023-03-12,13526
D324,A1074,P203,Agent_0,Qualification,2023-01-27,2023-05-22,42161
D325,A1022,P203,Agent_9,Proposal,2023-09-13,2024-02-16,6044
D326,A1054,P206,Agent_17,Prospecting,2023-10-15,2023-02-13,23175
D327,A1079,P200,Agent_1,Closed Won,2023-07-10,2024-01-06,53887
D328,A1074,P206,Agent_7,Proposal,2023-12-02,2023-12-14,56671
D329,A1015,P201,Agent_21,Qualification,2023-01-25,2023-10-01,5961
D330,A1007,P204,Agent_21,Prospecting,2023-07-22,2023-08-16,74285
D331,A1003,P203,Agent_25,Closed Lost,2023-04-19,2024-02-15,56966
D332,A1003,P206,Agent_25,Proposal,2023-05-07,2023-07-28,21973
D333,A1055,P206,Agent_8,Qualification,2023-02-06,2023-01-31,48393
D334,A1024,P204,Agent_20,Qualification,2023-09-25,2023-08-23,43433
D335,A1066,P204,Agent_30,Qualification,2023-06-26,2024-02-07,35678
D336,A1066,P203,Agent_5,Negotiation,2023-03-31,2023-06-23,23344
D337,A1026,P205,Agent_13,Closed Lost,2023-11-03,2024-01-14,50154
D338,A1031,P202,Agent_32,Closed Won,2023-02-12,2024-01-20,13846
D339,A1049,P201,Agent_6,Proposal,2023-04-02,2023-04-15,38846
D340,A1060,P201,Agent_23,Closed Won,2023-07-26,2023-10-12,63802
D341,A1050,P205,Agent_8,Proposal,2023-01-24,2023-08-26,21272
D342,A1018,P200,Agent_10,Qualification,2023-04-16,2023-06-04,53613
D343,A1020,P205,Agent_22,Closed Lost,2023-06-28,2023-10-06,18104
D344,A1004,P200,Agent_1,Qualification,2023-11-15,2024-02-13,20855
D345,A1081,P200,Agent_14,Qualification,2023-09-27,2023-03-02,42524
D346,A1041,P205,Agent_34,Closed Lost,2023-09-25,2023-11-16,71455
D347,A1060,P201,Agent_27,Prospecting,2023-03-25,2023-03-28,47706
D348,A1021,P202,Agent_3,Closed Won,2023-09-08,2023-06-11,39526
D349,A1020,P201,Agent_9,Closed Lost,2023-02-25,2024-01-22,14363
D350,A1069,P206,Agent_5,Proposal,2023-12-08,2023-04-03,57430
D351,A1000,P201,Agent_29,Prospecting,2023-04-28,2023-06-15,54511
D352,A1004,P201,Agent_34,Qualification,2023-02-16,2024-02-08,61738
D353,A1011,P205,Agent_9,Prospecting,2023-10-25,2023-05-31,74346
D354,A1045,P205,Agent_31,Proposal,2023-11-12,2023-11-02,6440
D355,A1033,P206,Agent_2,Closed Won,2023-08-07,2023-11-10,72255
D356,A1048,P206,Agent_25,Proposal,2023-01-07,2023-08-18,49213
D357,A1077,P205,Agent_14,Proposal,2023-04-04,2023-10-12,5555
D358,A1044,P201,Agent_16,Proposal,2023-03-03,2024-01-14,72833
D359,A1026,P202,Agent_26,Proposal,2023-10-05,2023-01-31,6535
